"step";"node_TransitionNode";"node_Transition";"node_Token";"node_PlaceNode";"node_Place";"node_PetriNetNode";"node_PetriNet";"node_Page";"node_Node";"edge_transitions";"edge_tokens";"edge_places";"edge_pages";"edge_outArc";"edge_inhibitorArc";"edge_inArc";"edge_EIdent";"edge_Arc";"edge_AEdge"
"stn";"30";"30";"1";"15";"15";"45";"1";"1";"48";"30";"1";"15";"1";"69";"";"37";"106";"106";"153"
"move";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"machine.na";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"NetAdd transform";"50";"50";"2";"28";"28";"78";"1";"1";"82";"50";"2";"28";"1";"98";"14";"71";"183";"183";"264"
"pninfo";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"allinone";"62";"62";"10";"37";"37";"99";"1";"1";"111";"62";"10";"37";"1";"171";"";"153";"324";"324";"434"
"to pnml";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"tina";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"to lola";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"lola";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"pninfo";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"to vhdl";"";"";"";"";"";"";"";"";"477";"";"";"";"";"";"";"";"";"";"630"
